,User-ID,ISBN,Book-Rating,Book-Title
418828,266056,0070212570,8,Fried Green Tomatoes at the Whistle Stop Cafe
418830,266056,0140293248,6,The Girls' Guide to Hunting and Fishing
418831,266056,014029628X,8,Girl in Hyacinth Blue
418833,266056,0156027321,9,Life of Pi
418837,266056,0312995423,9,Digital Fortress : A Thriller
418839,266056,0345391055,8,Disclosure
418880,266056,0452282152,9,Girl with a Pearl Earring
418920,266056,0842329218,9,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2)
418915,266056,0842329129,9,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1)
418881,266056,0515126772,8,Jewels of the Sun (Irish Trilogy)
418882,266056,0515132187,8,The Villa
418892,266056,0671014196,8,The Summerhouse
418906,266056,0786881852,5,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series)
418901,266056,0743411250,8,The Woman Next Door
418898,266056,0688177751,9,Miss Julia Speaks Her Mind : A Novel
418526,265889,0375707972,8,The Reader
418479,265889,0140293248,9,The Girls' Guide to Hunting and Fishing
418484,265889,0312966970,5,Four To Score (A Stephanie Plum Novel)
418494,265889,0312983271,8,Full House (Janet Evanovich's Full Series)
418642,265889,0671028375,8,Fatal Voyage
418674,265889,1400034779,10,The No. 1 Ladies' Detective Agency (Today Show Book Club #8)
418628,265889,0515136530,10,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)"
418594,265889,0446670251,9,The Virgin Suicides
418578,265889,043935806X,10,Harry Potter and the Order of the Phoenix (Book 5)
417817,265313,0440206154,6,Red Dragon
417816,265313,0439136369,9,Harry Potter and the Prisoner of Azkaban (Book 3)
417815,265313,0439064872,7,Harry Potter and the Chamber of Secrets (Book 2)
417811,265313,0425143325,8,Without Remorse
417807,265313,0399501487,9,Lord of the Flies
417818,265313,0440224675,6,Hannibal
417824,265313,0440998050,9,A Wrinkle in Time
417779,265313,0060938455,7,Fast Food Nation: The Dark Side of the All-American Meal
417790,265313,0064400557,9,Charlotte's Web (Trophy Newbery)
417802,265313,0380002930,10,Watership Down
417833,265313,0451160525,8,"The Gunslinger (The Dark Tower, Book 1)"
417869,265313,0743457358,7,Everything's Eventual : 14 Dark Tales
417861,265313,059035342X,8,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))
417466,265115,0385335881,9,Shopaholic Takes Manhattan (Summer Display Opportunity)
417498,265115,0446611867,7,A Bend in the Road
417496,265115,0446607711,10,The Simple Truth
417494,265115,0440224764,6,The Partner
417492,265115,0440221471,8,The Runaway Jury
417491,265115,0440213525,7,The Client
417405,265115,0312265867,10,To the Nines: A Stephanie Plum Novel
417400,265115,014029628X,9,Girl in Hyacinth Blue
417399,265115,014028009X,7,Bridget Jones's Diary
417397,265115,014025448X,7,At Home in Mitford (The Mitford Years)
417389,265115,0060976845,7,Little Altars Everywhere: A Novel
417432,265115,0345439104,8,Drowning Ruth (Oprah's Book Club)
417419,265115,0316601950,8,The Pilot's Wife : A Novel
417418,265115,0312983271,8,Full House (Janet Evanovich's Full Series)
417417,265115,0312980159,7,Fast Women
417416,265115,0312980140,10,Seven Up (A Stephanie Plum Novel)
417497,265115,0446609404,10,Cradle and All
417578,265115,1400034779,10,The No. 1 Ladies' Detective Agency (Today Show Book Club #8)
417560,265115,0767900383,8,Under the Tuscan Sun
417590,265115,155874262X,5,Chicken Soup for the Soul (Chicken Soup for the Soul)
417532,265115,0553280368,10,C Is for Corpse (Kinsey Millhone Mysteries (Paperback))
416533,264525,0446672211,10,Where the Heart Is (Oprah's Book Club (Paperback))
416532,264525,0446610399,6,The Rescue
416531,264525,0446608955,10,A Walk to Remember
416498,264525,0316666343,9,The Lovely Bones: A Novel
416522,264525,0440226430,10,Summer Sisters
416521,264525,043935806X,10,Harry Potter and the Order of the Phoenix (Book 5)
416512,264525,0385730586,6,Sisterhood of the Traveling Pants
416519,264525,0439139597,10,Harry Potter and the Goblet of Fire (Book 4)
416606,264525,1558744630,10,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul)
416605,264525,1558743669,5,"A Child Called \It\"": One Child's Courage to Survive"""
416576,264525,080410526X,10,All I Really Need to Know
416102,264321,0375707972,4,The Reader
416121,264321,0425169863,5,Point of Origin
416144,264321,0446601241,5,Kiss the Girls
416146,264321,0446606812,4,Message in a Bottle
416124,264321,0440206154,7,Red Dragon
416136,264321,0441172717,8,Dune (Remembering Tomorrow)
416032,264321,0316601950,6,The Pilot's Wife : A Novel
416033,264321,0316776963,6,Me Talk Pretty One Day
416044,264321,0345350499,7,The Mists of Avalon
416023,264321,0064400557,8,Charlotte's Web (Trophy Newbery)
416026,264321,0312195516,8,The Red Tent (Bestselling Backlist)
416027,264321,0312924585,7,Silence of the Lambs
416231,264321,080410526X,4,All I Really Need to Know
416165,264321,0451203895,5,4 Blondes
416196,264321,0671003755,6,She's Come Undone (Oprah's Book Club (Paperback))
415579,264082,0380018179,8,The Thorn Birds
415595,264082,0425169863,5,Point of Origin
415594,264082,0425163407,5,Unnatural Exposure
415517,264082,0142000205,6,Icy Sparks
415602,264082,0440221471,8,The Runaway Jury
415649,264082,0671867113,5,Moonlight Becomes You
415604,264082,0440225701,9,The Street Lawyer
415622,264082,0515131229,5,Dance upon the Air (Three Sisters Island Trilogy)
415419,264031,0345444884,7,The Talisman
415426,264031,0385512104,5,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13)
415427,264031,038572179X,8,Atonement : A Novel
415438,264031,0446672211,9,Where the Heart Is (Oprah's Book Club (Paperback))
415442,264031,0451184963,10,Insomnia
415417,264031,0345439104,9,Drowning Ruth (Oprah's Book Club)
415416,264031,0345435168,9,Open House (Oprah's Book Club (Paperback))
415389,264031,0060976845,10,Little Altars Everywhere: A Novel
415391,264031,0060987561,10,I Know This Much Is True
415394,264031,006101351X,9,The Perfect Storm : A True Story of Men Against the Sea
415396,264031,0066214122,8,Prey: A Novel
415397,264031,0142000205,9,Icy Sparks
415406,264031,031242227X,10,Running with Scissors: A Memoir
415412,264031,0316666343,10,The Lovely Bones: A Novel
415496,264031,1558743669,10,"A Child Called \It\"": One Child's Courage to Survive"""
415447,264031,0452282829,9,We Were the Mulvaneys
415452,264031,0515130389,10,Carolina Moon
415453,264031,0515132020,10,Heaven and Earth (Three Sisters Island Trilogy)
415454,264031,0515132187,7,The Villa
415456,264031,0515135062,10,Three Fates
414005,262998,0451191145,7,Atlas Shrugged
413989,262998,0385335482,6,Confessions of a Shopaholic (Summer Display Opportunity)
413990,262998,0385512104,8,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13)
413855,262998,0099771519,7,Memoirs of a Geisha Uk
413849,262998,0062502182,8,The Alchemist: A Fable About Following Your Dream
412488,261829,0440212561,8,Outlander
412485,261829,0440206154,9,Red Dragon
412479,261829,0425169863,7,Point of Origin
412468,261829,0385492081,10,Into Thin Air : A Personal Account of the Mt. Everest Disaster
412467,261829,038542017X,7,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies"
412401,261829,0316776963,1,Me Talk Pretty One Day
412399,261829,0316666343,9,The Lovely Bones: A Novel
412397,261829,0316096199,8,Lucky : A Memoir
412396,261829,0312990456,7,One for the Money (A Stephanie Plum Novel)
412395,261829,0312983271,7,Full House (Janet Evanovich's Full Series)
412390,261829,0312195516,9,The Red Tent (Bestselling Backlist)
412387,261829,0156027321,8,Life of Pi
412386,261829,0141000198,5,Bridget Jones's Diary
412407,261829,0345413903,8,The Murder Book
412406,261829,0345413350,9,"The Golden Compass (His Dark Materials, Book 1)"
412487,261829,0440211727,7,A Time to Kill
412561,261829,067976402X,8,Snow Falling on Cedars
412560,261829,0679735771,1,American Psycho (Vintage Contemporaries)
412577,261829,080410526X,6,All I Really Need to Know
412578,261829,0804114986,7,The Bonesetter's Daughter
412600,261829,1573229326,6,How to Be Good
412598,261829,1558744150,7,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))
412584,261829,0842329242,7,Nicolae: The Rise of Antichrist (Left Behind No. 3)
412550,261829,0671027360,9,Angels &amp; Demons
412504,261829,0446610038,8,1st to Die: A Novel
412511,261829,0449212602,8,The Handmaid's Tale
412506,261829,0446611212,8,Violets Are Blue
412505,261829,0446611085,8,Suzanne's Diary for Nicholas
412502,261829,0446608815,8,Pop Goes the Weasel
412499,261829,0446607711,5,The Simple Truth
412498,261829,0446605484,8,Roses Are Red (Alex Cross Novels)
412496,261829,0441304834,10,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback))
412493,261829,0440241073,7,The Summons
412491,261829,0440226104,7,Black and Blue
412545,261829,0671001795,8,Two for the Dough
412541,261829,0553579754,8,Fear Nothing
412528,261829,0552124753,6,
411545,261105,0345337662,8,Interview with the Vampire
411557,261105,068484477X,6,STONES FROM THE RIVER
408338,258534,0440214041,8,The Pelican Brief
408336,258534,0440213525,9,The Client
408332,258534,0439139600,10,Harry Potter and the Goblet of Fire (Book 4)
408331,258534,0425182908,10,Isle of Dogs
408330,258534,0425182878,8,Chosen Prey
408329,258534,0425180638,9,The Last Precinct
408327,258534,0425172546,9,Southern Cross
408325,258534,0425163407,9,Unnatural Exposure
408323,258534,0425154092,9,From Potter's Field
408322,258534,0425147622,9,The Body Farm
408364,258534,0446610038,6,1st to Die: A Novel
408363,258534,0446609404,10,Cradle and All
408362,258534,0446608815,8,Pop Goes the Weasel
408360,258534,0446606189,8,Cat &amp; Mouse (Alex Cross Novels)
408359,258534,0446605484,8,Roses Are Red (Alex Cross Novels)
408358,258534,0446604801,8,Jack &amp; Jill (Alex Cross Novels)
408351,258534,0440241073,9,The Summons
408350,258534,044023722X,10,A Painted House
408347,258534,0440234743,8,The Testament
408346,258534,0440226104,8,Black and Blue
408282,258534,0312990456,10,One for the Money (A Stephanie Plum Novel)
408281,258534,0312983867,10,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)
408280,258534,0312980140,10,Seven Up (A Stephanie Plum Novel)
408279,258534,0312976275,10,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)
408278,258534,0312971346,10,High Five (A Stephanie Plum Novel)
408277,258534,0312966970,9,Four To Score (A Stephanie Plum Novel)
408276,258534,0312966091,10,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel)
408275,258534,0312924585,10,Silence of the Lambs
408273,258534,0312265867,10,To the Nines: A Stephanie Plum Novel
408269,258534,0060938455,8,Fast Food Nation: The Dark Side of the All-American Meal
408291,258534,034541389X,9,Flesh and Blood
408311,258534,038529929X,9,Hannibal
408299,258534,0380718332,9,All That Remains (Kay Scarpetta Mysteries (Paperback))
408298,258534,0375725784,9,A Heartbreaking Work of Staggering Genius
408292,258534,0345413903,9,The Murder Book
408437,258534,0671727796,10,The Color Purple
408433,258534,0671042858,9,The Girl Who Loved Tom Gordon
408427,258534,0671001795,10,Two for the Dough
408449,258534,0805063897,7,Nickel and Dimed: On (Not) Getting By in America
408444,258534,074343627X,9,Dreamcatcher
408415,258534,0553284789,9,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback))
408414,258534,0553280368,9,C Is for Corpse (Kinsey Millhone Mysteries (Paperback))
408385,258534,0451172817,9,Needful Things
408377,258534,0449221512,9,I Is for Innocent
408374,258534,0449221482,9,J Is for Judgment
408373,258534,0449219461,9,H Is for Homicide (Kinsey Millhone Mysteries (Paperback))
408372,258534,0449219364,9,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback))
408370,258534,0449003795,9,P Is for Peril
408369,258534,0449003787,9,"\O\"" Is for Outlaw"""
408413,258534,0553280341,9,B Is for Burglar (Kinsey Millhone Mysteries (Paperback))
408412,258534,0553279912,9,A Is for Alibi (Kinsey Millhone Mysteries (Paperback))
408411,258534,0553279556,9,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback))
408410,258534,0553271636,8,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback))
407815,258185,0446610038,9,1st to Die: A Novel
407803,258185,0440224764,7,The Partner
407793,258185,0425182878,9,Chosen Prey
407730,258185,0312306326,9,Visions of Sugar Plums
407872,258185,0553582127,8,The Search
407867,258185,055356451X,9,Night Sins
407850,258185,0515128554,8,Heart of the Sea (Irish Trilogy)
407849,258185,0515128546,9,Tears of the Moon (Irish Trilogy)
407575,258152,0380789035,6,American Gods
407566,258152,0345413350,7,"The Golden Compass (His Dark Materials, Book 1)"
407590,258152,0451191145,7,Atlas Shrugged
407587,258152,0441172717,10,Dune (Remembering Tomorrow)
407533,258152,0060938455,8,Fast Food Nation: The Dark Side of the All-American Meal
407599,258152,0552137030,9,
407561,258152,0345339681,9,The Hobbit : The Enchanting Prelude to The Lord of the Rings
406308,257204,043936213X,10,Harry Potter and the Sorcerer's Stone (Book 1)
406381,257204,059035342X,10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))
406382,257204,0609610597,10,"The Shelters of Stone (Earth's Children Series, No 5)"
406187,257204,006016848X,10,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships"
406245,257204,0345350499,10,The Mists of Avalon
406477,257204,0812511816,9,"The Eye of the World (The Wheel of Time, Book 1)"
404391,255489,038550926X,6,The Devil Wears Prada : A Novel
404387,255489,038529929X,3,Hannibal
404385,255489,0380710218,5,Postmortem
404402,255489,0425182878,8,Chosen Prey
